OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
1893,Kennet & Avon Canal - 125,9800,Kennet and Avon,KA Length 125,KA,KA-125,KA Kennet & Avon Canal - 125,0.012131459,c4f528d0-b3cc-4388-85ea-46496e73d2db
1894,Kennet & Avon Canal - 129,9800,Kennet and Avon,KA Length 129,KA,KA-129,KA Kennet & Avon Canal - 129,0.003624946,66f260d6-8e30-4277-b9c8-45a4d90f40c8
1895,Kennet & Avon Canal - 129,9800,Kennet and Avon,KA Length 129,KA,KA-129,KA Kennet & Avon Canal - 129,0.008097502,35e382a8-d79d-4253-b559-12fa1d62e018
1896,Kennet & Avon Canal - 131,9800,Kennet and Avon,KA Length 131,KA,KA-131,KA Kennet & Avon Canal - 131,0.011474226,a852e507-e324-4d45-9711-600f1be16934
1897,Kennet & Avon Canal - 132,9800,Kennet and Avon,KA Length 132,KA,KA-132,KA Kennet & Avon Canal - 132,0.012961289,4c414d81-55ea-439a-8b3e-e8752db7a054
1898,Kennet & Avon Canal - 133,9800,Kennet and Avon,KA Length 133,KA,KA-133,KA Kennet & Avon Canal - 133,0.013334321,3b464276-893e-4e10-a79c-8c24b0436b11
1899,Kennet & Avon Canal - 134,9800,Kennet and Avon,KA Length 134,KA,KA-134,KA Kennet & Avon Canal - 134,0.013149367,0b66ea28-7f49-493d-a526-0b086e85dccf
1900,Kennet & Avon Canal - 130,9800,Kennet and Avon,KA Length 130,KA,KA-130,KA Kennet & Avon Canal - 130,0.010896268,360e726a-dd2c-4afe-a68c-76bba399b16b
1901,Kennet & Avon Canal - 136,9800,Kennet and Avon,KA Length 136,KA,KA-136,KA Kennet & Avon Canal - 136,0.01093761,2f6ed4cf-dc5c-42e3-b4f8-1bfaa3ab0dbd
1902,Kennet & Avon Canal - 137,9800,Kennet and Avon,KA Length 137,KA,KA-137,KA Kennet & Avon Canal - 137,0.011633884,80251266-1ee3-4764-b50f-57a9d45431f3
1903,Kennet & Avon Canal - 138,9800,Kennet and Avon,KA Length 138,KA,KA-138,KA Kennet & Avon Canal - 138,0.012994751,df520f43-9fef-4796-895f-eb3ea71198e1
1904,Kennet & Avon Canal - 139,9800,Kennet and Avon,KA Length 139,KA,KA-139,KA Kennet & Avon Canal - 139,0.007708079,bfe7d1fc-9d9d-43c1-bc2e-ca375122f2da
1905,Kennet & Avon Canal - 135,9800,Kennet and Avon,KA Length 135,KA,KA-135,KA Kennet & Avon Canal - 135,0.012631401,dfde2448-599c-4305-a7d9-b6cecb1e09b3
1906,Kennet & Avon Canal - 074,9800,Kennet and Avon,KA Length 074,KA,KA-074,KA Kennet & Avon Canal - 074,0.013621856,f5e06d21-a74a-4533-a096-37ce28079f50
1907,Kennet & Avon Canal - 089,9800,Kennet and Avon,KA Length 089,KA,KA-089,KA Kennet & Avon Canal - 089,0.014342904,c69363a3-10f9-4bd8-8aa7-6668046dca85
1908,Kennet & Avon Canal - 095,9800,Kennet and Avon,KA Length 095,KA,KA-095,KA Kennet & Avon Canal - 095,0.012443494,d2fb567e-448f-4495-9e18-fd3fe23fc6a5
